name,block,family,shape,dtype,params,rows,cols
model.layers.7.mlp.up_proj.weight,7,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.7.post_attention_layernorm.weight,7,norm,[2560],BF16,2560,2560,1
model.layers.7.self_attn.k_norm.weight,7,norm,[128],BF16,128,128,1
model.layers.7.self_attn.k_proj.weight,7,k_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.7.self_attn.o_proj.weight,7,o_proj,"[2560, 4096]",BF16,10485760,2560,4096
model.layers.7.self_attn.q_norm.weight,7,norm,[128],BF16,128,128,1
model.layers.7.self_attn.q_proj.weight,7,q_proj,"[4096, 2560]",BF16,10485760,4096,2560
model.layers.7.self_attn.v_proj.weight,7,v_proj,"[1024, 2560]",BF16,2621440,1024,2560
model.layers.8.input_layernorm.weight,8,norm,[2560],BF16,2560,2560,1
model.layers.8.mlp.down_proj.weight,8,down_proj,"[2560, 9728]",BF16,24903680,2560,9728
model.layers.8.mlp.gate_proj.weight,8,gate_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.8.mlp.up_proj.weight,8,up_proj,"[9728, 2560]",BF16,24903680,9728,2560
model.layers.8.post_attention_layernorm.weight,8,norm,[2560],BF16,2560,2560,1
